movieId,title,genres,tmdbId,overview,poster_path,release_date,vote_average,tmdb_genres
11,"American President, The (1995)",Comedy|Drama|Romance,9087.0,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995-11-17,6.53,"['Drama', 'Romance']"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995-12-22,6.06,"['Comedy', 'Horror']"
13,Balto (1995),Adventure|Animation|Children,21032.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,1995-12-22,7.302,"['Family', 'Animation', 'Adventure', 'Drama', 'History']"
14,Nixon (1995),Drama,10858.0,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,1995-12-22,6.9,"['Drama', 'History']"
15,Cutthroat Island (1995),Action|Adventure|Romance,1408.0,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1995-12-22,5.787,"['Action', 'Adventure']"
16,Casino (1995),Crime|Drama,524.0,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,1995-11-22,7.991,"['Crime', 'Drama']"
17,Sense and Sensibility (1995),Drama|Romance,4584.0,"The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,1995-12-13,7.422,"['Drama', 'Romance']"
18,Four Rooms (1995),Comedy,5.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,1995-12-09,5.895,['Comedy']
19,Ace Ventura: When Nature Calls (1995),Comedy,9273.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,1995-11-10,6.324,"['Crime', 'Comedy', 'Adventure']"
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517.0,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,1995-11-21,5.854,"['Action', 'Comedy', 'Crime']"
21,Get Shorty (1995),Comedy|Crime|Thriller,8012.0,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,1995-10-20,6.5,"['Comedy', 'Thriller', 'Crime']"
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710.0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,1995-10-27,6.465,"['Thriller', 'Crime', 'Mystery']"
23,Assassins (1995),Action|Crime|Thriller,9691.0,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,1995-10-06,6.5,"['Action', 'Adventure', 'Crime', 'Thriller']"
24,Powder (1995),Drama|Sci-Fi,12665.0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,1995-10-27,7.002,"['Drama', 'Fantasy']"
25,Leaving Las Vegas (1995),Drama|Romance,451.0,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,1995-10-27,7.25,"['Drama', 'Romance']"
26,Othello (1995),Drama,16420.0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,/kyevuYzW36wKadiE8lftLac5VwQ.jpg,1995-12-15,6.3,['Drama']
27,Now and Then (1995),Children|Drama,9263.0,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,1995-10-20,6.9,"['Comedy', 'Drama', 'Romance']"
28,Persuasion (1995),Drama|Romance,17015.0,"In early 19th-century England, dire financial straits reacquaint the aristocratic Anne Elliot with her wealthy ex-fiance Frederick Wentworth. The two must choose between either putting the past behind them or listening to their hearts.",/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,1995-05-01,7.144,"['Drama', 'Romance']"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902.0,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,1995-05-17,7.2,"['Fantasy', 'Science Fiction', 'Adventure']"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557.0,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,1995-09-14,6.761,"['Drama', 'Crime']"
31,Dangerous Minds (1995),Drama,9909.0,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,1995-08-11,7.0,['Drama']
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63.0,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,1995-12-29,7.603,"['Science Fiction', 'Thriller', 'Mystery']"
34,Babe (1995),Children|Drama,9598.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,1995-07-18,6.3,"['Fantasy', 'Drama', 'Comedy', 'Family']"
36,Dead Man Walking (1995),Crime|Drama,687.0,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,1995-12-29,7.321,['Drama']
38,It Takes Two (1995),Children|Comedy,33689.0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,1995-11-17,6.5,"['Comedy', 'Family', 'Romance']"
39,Clueless (1995),Comedy|Romance,9603.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,1995-07-19,7.3,"['Comedy', 'Romance']"
40,"Cry, the Beloved Country (1995)",Drama,34615.0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,1995-12-15,6.722,['Drama']
41,Richard III (1995),Drama|War,31174.0,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg,1995-12-29,6.7,"['Drama', 'War']"
42,Dead Presidents (1995),Action|Crime|Drama,11443.0,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg,1995-09-29,6.7,"['Crime', 'Drama', 'Action']"
43,Restoration (1995),Drama,35196.0,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,1995-12-29,6.057,"['Drama', 'Romance']"
44,Mortal Kombat (1995),Action|Adventure|Fantasy,9312.0,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes.",/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,1995-08-18,5.876,"['Action', 'Fantasy']"
45,To Die For (1995),Comedy|Drama|Thriller,577.0,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,1995-09-22,6.6,"['Drama', 'Comedy', 'Crime']"
46,How to Make an American Quilt (1995),Drama|Romance,11861.0,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,1995-10-06,6.4,"['Drama', 'Romance']"
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807.0,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,1995-09-22,8.38,"['Crime', 'Mystery', 'Thriller']"
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530.0,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,1995-06-16,6.911,"['Adventure', 'Animation', 'Family', 'Romance']"
49,When Night Is Falling (1995),Drama|Romance,8391.0,"Camille is a professor at a Protestant college and is in a long-term relationship with Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,1995-02-01,6.3,"['Drama', 'Romance']"
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629.0,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,1995-07-19,8.17,"['Drama', 'Crime', 'Thriller']"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448.0,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",/ice135yQZp4iX2SgCmd90nKgS5j.jpg,1995-09-13,6.728,"['Comedy', 'Romance']"
53,Lamerica (1994),Adventure|Drama,49133.0,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,1994-09-09,7.1,['Drama']
54,"Big Green, The (1995)",Children|Comedy,26441.0,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,1995-09-29,5.6,"['Family', 'Comedy']"
55,Georgia (1995),Drama,97406.0,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.",/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,1995-05-19,5.7,['Drama']
57,Home for the Holidays (1995),Drama,9089.0,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",/3zqlKdOttWyExzopVxglz50Vjxq.jpg,1995-11-02,6.2,"['Comedy', 'Drama', 'Romance']"
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010.0,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,1994-09-22,7.9,"['Comedy', 'Drama', 'Romance']"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,11359.0,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,1995-07-14,6.463,"['Adventure', 'Family', 'Fantasy']"
61,Eye for an Eye (1996),Drama|Thriller,17182.0,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,6.235,"['Thriller', 'Drama']"
62,Mr. Holland's Opus (1995),Drama,2054.0,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1995-12-29,6.968,"['Drama', 'Music']"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,10607.0,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,1996-01-12,7.026,"['Comedy', 'Crime']"
64,Two if by Sea (1996),Comedy|Romance,19760.0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg,1996-01-12,4.9,"['Comedy', 'Romance']"
65,Bio-Dome (1996),Comedy,9536.0,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,1996-01-12,4.5,['Comedy']
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525.0,"After being rescued from the ruins of Virtual Space Industries, Jobe is rebuilt and reconnected to virtual reality by corporate mogul Jonathan Walker. Years later, teenage hacker Peter Parkette helps Jobe locate Benjamin Trace, the original creator of virtual reality, only to uncover Jobe’s plan to launch a new world order using Walker’s tech. Now, Peter, Trace, Cori, and a band of runaways must stop Jobe and Walker before they enslave humanity through cyberspace.",/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg,1996-01-12,3.3,"['Science Fiction', 'Horror', 'Action', 'Thriller']"
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4482.0,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,1995-01-18,6.0,"['Comedy', 'Romance']"
69,Friday (1995),Comedy,10634.0,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",/2lReF53F8trkC68piGSfk0JVwWU.jpg,1995-04-26,7.136,"['Comedy', 'Drama']"
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755.0,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,1996-01-19,7.038,"['Horror', 'Action', 'Thriller', 'Crime']"
71,Fair Game (1995),Action,11859.0,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg,1995-11-03,5.1,['Action']
72,Kicking and Screaming (1995),Comedy|Drama,28387.0,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",/ynAtSpTou7snNOq32djzILw9VCA.jpg,1995-10-06,6.2,"['Comedy', 'Drama', 'Romance']"
73,"Misérables, Les (1995)",Drama|War,48750.0,"In WWII France, poor and illiterate Henri Fortin is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",/toQ6BJCiKVSnklpsma2GnJ6KKah.jpg,1995-03-22,6.6,"['Drama', 'History']"
74,Bed of Roses (1996),Drama|Romance,20927.0,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",/zCXvHCEm8334d0d646ldDkXnKws.jpg,1996-01-26,5.85,"['Drama', 'Romance']"
75,Big Bully (1996),Comedy|Drama,36929.0,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg,1996-01-26,4.59,['Comedy']
76,Screamers (1995),Action|Sci-Fi|Thriller,9102.0,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",/eqgBf791rMZG7ywHfObpXeMpiRf.jpg,1995-09-08,6.2,"['Horror', 'Science Fiction', 'War']"
77,Nico Icon (1995),Documentary,124626.0,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",/w3oiJZTB1UP3lj0uSVLdsYfsBbC.jpg,1995-09-08,7.5,['Documentary']
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,27526.0,"Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death.",/1WOfl9LN4gqpjwWZjGSHW8fCgSZ.jpg,1995-01-26,6.0,"['Drama', 'Thriller']"
79,"Juror, The (1996)",Drama|Thriller,9623.0,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",/31mRYhJvaknQx8PQnR2UV7YCkLT.jpg,1996-02-02,5.7,"['Thriller', 'Crime', 'Drama']"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,46785.0,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg,1995-01-02,7.468,"['Drama', 'Family']"
